id,title
2,Теория вероятностей и математическая статистика
4,Правоведение
11,Организация и планирование производства
13,Информационные технологии
14,Социология
18,Экология
20,Математика
22,Управление проектами
31,Физика
35,Теория систем и системный анализ
45,Философия
54,Защита информации
55,Новые технологии в программировании
66,Экономика
69,Сети и телекоммуникации
84,Теория информационных систем
89,Дополнительные главы математики
90,"Электротехника, электроника и схемотехника"
92,ЭВМ и периферийные устройства
93,Проблемно-ориентированные вычислительные системы
94,Дискретная математика
108,Вычислительная математика
109,"Метрология, стандартизация и сертификация"
150,Базы данных
153,Безопасность жизнедеятельности
162,Моделирование систем
167,Функциональное и логическое программирование
178,Промышленная логистика
201,Информатика
202,Инженерная и компьютерная графика
210,Культурология
214,История
247,Математическая логика и теория алгоритмов
250,Лингвистическое и программное обеспечение САПР
251,Русский язык и культура речи
287,Объектно-ориентированное программирование
303,Операционные системы
351,Исследование операций
377,Введение в специальность
402,"Теория вероятностей, математическая статистика и случайные процессы"
413,Менеджмент
423,Программирование
466,Теория и системы управления
493,Экспертные системы / Базы знаний
519,Методы оптимальных решений
529,Введение в профессию
530,Инженерная графика
561,Параллельное программирование
565,Час куратора
585,Схемотехника
611,Компьютерная графика
656,Системный анализ
679,Теория принятия решения
703,Проектирование и техническое сопровождение компьютерных сетей
733,Системный анализ / Теория систем
766,Механика
779,Автоматизация конструкторского и технологического проектирования
801,Структуры и алгоритмы обработки данных в ЭВМ
845,Языковые средства создания гипердокументов
878,Модели и методы анализа проектных решений
896,Технология программирования
944,Риторика / Процессы коммуникаций в современном обществе (по выбору)
975,Управление финансами / Маркетинг / Основы менеджмента (по выбору)
980,Прикладная информатика
1015,Методы оптимизации
1038,Основы разработки программного обеспечения
1046,Информационные системы в экономике
1061,Специальные главы высшей математики
1151,Математические методы исследования систем
1197,Исследование операций / Идентификация сложных систем
1365,Параллельное программирование / GRID-технологии
1384,Метрология и технические измерения
1413,Геометрическое моделирование / Геометрическое моделирование в САПР
1431,Русский язык и культура речи / Процессы коммуникации в современном обществе
1434,Теоретические основы механики / Механика
1442,Русский язык и культура речи / Процессы коммуникаций в современном обществе
1469,Введение в информатику и вычислительную технику
1473,Основы информационных технологий
1480,Системы цифровой обработки сигналов
1492,Основы разработки САПР
1515,Теория вероятности и математическая статистика
1531,Финансовая математика
1636,Структуры данных
1712,Физика для информатики
1723,Основы электротехники и электроники
1747,Методы оптимизации / Теория оптимального управления
1776,Искусственный интеллект
1777,Теория систем и системный аннализ
1796,Механика / Схемотехника
1805,Алгоритмы и структуры данных/Информатика 2 (по выбору)
1925,Специализированная подготовка разработчиков бизнес приложений
1973,Физика для информатикиФизика для информатики
1990,Введение в профиль
2001,Теория языков программирования и методы трансляции
2031,Организация ЭВМ и систем
2075,Геометрическое моделирование в САПР
2293,Вычислительные системы и сети
2302,Разработка веб-сервисов для научных и прикладных задач
2304,Объектно-ориентированное программирование
2316,Информационно-аналитические системы управления
2340,Технологии создания Интернет-приложений
2391,Элективные дисциплины по физической культуре и спорту
2432,Проблемно-ориентированные вычислительные системы
2658,Распределенные вычислительные системы
2671,Технологическое предпринимательство (ФТД)
