id,group_id,discipline_id,date_on,kind,order_number,timetable_id
650,233,20,2014-09-02,lecture,1,100206
651,233,251,2014-09-02,practice,2,100214
698,234,20,2014-09-02,lecture,1,100206
699,234,214,2014-09-02,practice,2,100215
1256,233,214,2014-09-03,lecture,1,100230
1257,233,214,2014-09-03,practice,2,100235
1299,234,214,2014-09-03,lecture,1,100230
1300,234,31,2014-09-03,practice,2,100237
1301,234,423,2014-09-03,laboratory,3,100238
1302,234,423,2014-09-03,laboratory,4,100239
1830,233,202,2014-09-04,lecture,2,99973
1831,233,530,2014-09-04,practice,4,100361
1865,234,202,2014-09-04,lecture,2,99973
2302,233,31,2014-09-05,practice,2,100432
2303,233,20,2014-09-05,practice,3,100435
2304,233,251,2014-09-05,lecture,4,103150
2305,233,201,2014-09-05,laboratory,5,103218
2351,234,20,2014-09-05,practice,2,100436
2352,234,251,2014-09-05,lecture,4,103150
3276,233,423,2014-09-08,lecture,2,100190
3277,233,530,2014-09-08,practice,3,100197
3325,234,423,2014-09-08,lecture,2,100190
3326,234,423,2014-09-08,laboratory,3,100200
3327,234,423,2014-09-08,laboratory,4,100202
3912,233,20,2014-09-09,lecture,1,100223
3913,233,214,2014-09-09,practice,2,100226
3958,234,20,2014-09-09,lecture,1,100223
3959,234,251,2014-09-09,practice,2,100227
4507,233,31,2014-09-10,lecture,2,100242
4508,233,201,2014-09-10,lecture,3,100248
4553,234,31,2014-09-10,lecture,2,100242
4554,234,201,2014-09-10,lecture,3,100248
4555,234,530,2014-09-10,practice,4,100252
5102,233,202,2014-09-11,lecture,2,100383
5137,234,202,2014-09-11,lecture,2,100383
5601,233,20,2014-09-12,practice,2,100466
5602,233,423,2014-09-12,laboratory,3,100468
5603,233,423,2014-09-12,laboratory,4,100470
5604,233,565,2014-09-12,practice,5,103415
5648,234,20,2014-09-12,practice,1,100471
5649,234,214,2014-09-12,practice,2,100472
6584,233,423,2014-09-15,lecture,2,100181
6585,233,423,2014-09-15,laboratory,3,100183
6586,233,423,2014-09-15,laboratory,4,100184
6632,234,423,2014-09-15,lecture,2,100181
6633,234,530,2014-09-15,practice,3,100185
7227,233,20,2014-09-16,lecture,1,100206
7228,233,251,2014-09-16,practice,2,100214
7276,234,20,2014-09-16,lecture,1,100206
7277,234,214,2014-09-16,practice,2,100215
7830,233,214,2014-09-17,lecture,1,100230
7831,233,214,2014-09-17,practice,2,100235
7870,234,214,2014-09-17,lecture,1,100230
7871,234,31,2014-09-17,practice,2,100237
7872,234,423,2014-09-17,laboratory,3,100238
7873,234,423,2014-09-17,laboratory,4,100239
8401,233,202,2014-09-18,lecture,2,99973
8402,233,530,2014-09-18,practice,4,100361
8436,234,202,2014-09-18,lecture,2,99973
8886,233,31,2014-09-19,practice,2,100432
8887,233,20,2014-09-19,practice,3,100435
8888,233,251,2014-09-19,lecture,4,103150
8889,233,201,2014-09-19,laboratory,5,103218
8938,234,20,2014-09-19,practice,2,100436
8939,234,251,2014-09-19,lecture,4,103150
9875,233,423,2014-09-22,lecture,2,100190
9876,233,530,2014-09-22,practice,3,100197
9928,234,565,2014-09-22,practice,1,103417
9929,234,423,2014-09-22,lecture,2,100190
9930,234,423,2014-09-22,laboratory,3,100200
9931,234,423,2014-09-22,laboratory,4,100202
10534,233,20,2014-09-23,lecture,1,100223
10535,233,214,2014-09-23,practice,2,100226
10583,234,20,2014-09-23,lecture,1,100223
10584,234,251,2014-09-23,practice,2,100227
11137,233,31,2014-09-24,lecture,2,100242
11138,233,201,2014-09-24,lecture,3,100248
11183,234,31,2014-09-24,lecture,2,100242
11184,234,201,2014-09-24,lecture,3,100248
11185,234,530,2014-09-24,practice,4,100252
11732,233,202,2014-09-25,lecture,2,100383
11767,234,202,2014-09-25,lecture,2,100383
12225,233,20,2014-09-26,practice,2,100466
12226,233,423,2014-09-26,laboratory,3,100468
12227,233,423,2014-09-26,laboratory,4,100470
12228,233,565,2014-09-26,practice,5,103415
12273,234,20,2014-09-26,practice,1,100471
