id,discipline_semester_id,period_id
127,127,2
24655,127,66
28513,127,67
128,128,2
24657,128,66
28514,128,67
129,129,2
24656,129,66
28515,129,67
130,130,2
24660,130,66
28516,130,67
131,131,2
24662,131,66
28517,131,67
132,132,2
24659,132,66
28518,132,67
133,133,2
24658,133,66
28519,133,67
134,134,2
24661,134,66
208,208,2
24631,208,66
28290,208,67
209,209,2
24636,209,66
28291,209,67
210,210,2
24633,210,66
28292,210,67
211,211,2
24632,211,66
28293,211,67
212,212,2
24634,212,66
28294,212,67
213,213,2
24637,213,66
28295,213,67
214,214,2
24635,214,66
747,747,2
25176,747,66
28618,747,67
748,748,2
25171,748,66
28619,748,67
749,749,2
25170,749,66
28620,749,67
750,750,2
25177,750,66
28621,750,67
751,751,2
25172,751,66
28622,751,67
752,752,2
25174,752,66
28623,752,67
753,753,2
25173,753,66
28624,753,67
754,754,2
25175,754,66
1018,1018,2
25498,1018,66
28342,1018,67
1019,1019,2
25500,1019,66
28343,1019,67
1020,1020,2
25504,1020,66
28344,1020,67
1021,1021,2
25499,1021,66
28345,1021,67
1022,1022,2
25502,1022,66
28346,1022,67
1023,1023,2
25503,1023,66
28347,1023,67
1024,1024,2
25501,1024,66
1025,1025,2
25505,1025,66
28348,1025,67
1094,1094,2
25635,1094,66
28349,1094,67
1095,1095,2
25632,1095,66
28350,1095,67
1096,1096,2
25637,1096,66
28351,1096,67
1097,1097,2
25630,1097,66
28352,1097,67
1098,1098,2
25631,1098,66
28353,1098,67
1099,1099,2
25633,1099,66
28354,1099,67
1100,1100,2
25634,1100,66
1266,1266,2
25744,1266,66
1267,1267,2
25748,1267,66
28369,1267,67
1268,1268,2
25742,1268,66
28370,1268,67
1269,1269,2
25743,1269,66
28371,1269,67
1270,1270,2
25749,1270,66
28372,1270,67
1271,1271,2
25745,1271,66
28373,1271,67
1272,1272,2
25746,1272,66
28374,1272,67
1510,1510,2
26075,1510,66
28401,1510,67
1511,1511,2
26076,1511,66
28402,1511,67
1512,1512,2
26077,1512,66
28403,1512,67
1513,1513,2
26078,1513,66
28404,1513,67
1514,1514,2
26079,1514,66
28405,1514,67
1515,1515,2
26080,1515,66
28406,1515,67
1516,1516,2
26081,1516,66
1517,1517,2
26082,1517,66
28407,1517,67
2282,2282,2
25747,2282,66
28488,2282,67
27119,2541,67
27189,2563,67
25636,10410,66
28508,10410,67
24638,10415,66
28509,10415,67
27134,10508,67
27242,10549,67
27262,10555,67
27306,10568,67
30495,11034,68
32606,11034,75
34857,11034,74
30496,11035,68
32607,11035,75
34858,11035,74
30497,11036,68
32608,11036,75
34859,11036,74
30498,11037,68
32609,11037,75
34860,11037,74
30499,11038,68
32610,11038,75
34861,11038,74
30500,11039,68
32611,11039,75
34862,11039,74
30501,11040,68
32612,11040,75
34863,11040,74
30710,11148,68
32706,11148,75
35047,11148,74
30711,11149,68
32707,11149,75
35048,11149,74
30712,11150,68
32708,11150,75
35049,11150,74
30713,11151,68
32709,11151,75
35050,11151,74
30714,11152,68
32710,11152,75
35051,11152,74
30715,11153,68
32711,11153,75
35052,11153,74
30716,11154,68
32712,11154,75
35053,11154,74
30717,11155,68
32713,11155,75
35054,11155,74
30718,11156,68
32714,11156,75
35055,11156,74
30516,11163,68
32715,11163,75
34872,11163,74
30517,11164,68
32716,11164,75
34873,11164,74
30518,11165,68
32717,11165,75
34874,11165,74
30519,11166,68
32718,11166,75
34875,11166,74
30520,11167,68
32719,11167,75
34876,11167,74
30521,11168,68
32720,11168,75
34877,11168,74
30522,11169,68
32721,11169,75
34878,11169,74
30523,11170,68
32722,11170,75
34879,11170,74
30524,11171,68
32723,11171,75
34880,11171,74
30525,11172,68
32724,11172,75
34881,11172,74
30526,11173,68
32725,11173,75
34882,11173,74
30527,11174,68
32726,11174,75
34883,11174,74
30528,11175,68
32727,11175,75
34884,11175,74
30529,11176,68
32728,11176,75
34885,11176,74
30530,11177,68
32729,11177,75
34886,11177,74
30531,11178,68
32730,11178,75
34887,11178,74
30532,11179,68
32731,11179,75
34888,11179,74
30533,11180,68
32732,11180,75
34889,11180,74
30534,11181,68
32733,11181,75
34890,11181,74
30535,11182,68
32734,11182,75
34891,11182,74
30536,11183,68
32735,11183,75
34892,11183,74
30537,11184,68
32736,11184,75
34893,11184,74
30544,11302,68
32840,11302,75
34894,11302,74
30545,11303,68
32841,11303,75
34895,11303,74
30546,11304,68
32842,11304,75
34896,11304,74
30547,11305,68
32843,11305,75
34897,11305,74
30548,11306,68
32844,11306,75
34898,11306,74
30549,11307,68
32845,11307,75
34899,11307,74
30550,11308,68
32846,11308,75
34900,11308,74
30735,11392,68
32925,11392,75
35072,11392,74
30736,11393,68
32926,11393,75
35073,11393,74
30737,11394,68
32927,11394,75
35074,11394,74
30738,11395,68
32928,11395,75
35075,11395,74
30739,11396,68
32929,11396,75
35076,11396,74
30740,11397,68
32930,11397,75
35077,11397,74
30741,11398,68
32931,11398,75
35078,11398,74
30742,11399,68
32932,11399,75
35079,11399,74
30743,11400,68
32933,11400,75
35080,11400,74
36593,13516,79
39732,13516,81
36594,13517,79
39733,13517,81
43855,13517,80
39734,13518,81
43856,13518,80
36596,13519,79
39735,13519,81
43857,13519,80
36597,13520,79
39736,13520,81
43858,13520,80
36598,13521,79
39737,13521,81
43859,13521,80
36599,13522,79
39738,13522,81
43860,13522,80
36973,13896,79
39777,13896,81
43895,13896,80
36974,13897,79
39778,13897,81
43896,13897,80
36975,13898,79
39779,13898,81
36976,13899,79
39780,13899,81
43897,13899,80
36977,13900,79
39781,13900,81
43898,13900,80
36978,13901,79
39782,13901,81
43899,13901,80
36979,13902,79
39783,13902,81
43900,13902,80
36980,13903,79
39784,13903,81
43901,13903,80
37171,14094,79
39806,14094,81
43922,14094,80
37172,14095,79
39807,14095,81
43923,14095,80
37173,14096,79
39808,14096,81
37174,14097,79
39809,14097,81
43924,14097,80
37175,14098,79
39810,14098,81
43925,14098,80
37176,14099,79
39811,14099,81
43926,14099,80
37177,14100,79
39812,14100,81
43927,14100,80
37178,14101,79
39813,14101,81
43928,14101,80
37975,14898,79
40139,14898,81
42460,14898,80
37976,14899,79
40140,14899,81
42461,14899,80
37977,14900,79
40141,14900,81
37978,14901,79
40142,14901,81
42462,14901,80
37979,14902,79
40143,14902,81
42463,14902,80
37980,14903,79
40144,14903,81
42464,14903,80
37981,14904,79
40145,14904,81
42465,14904,80
37982,14905,79
40146,14905,81
42466,14905,80
37991,14914,79
40155,14914,81
42474,14914,80
37992,14915,79
40156,14915,81
42475,14915,80
37993,14916,79
40157,14916,81
37994,14917,79
40158,14917,81
42476,14917,80
37995,14918,79
40159,14918,81
42477,14918,80
37996,14919,79
40160,14919,81
42478,14919,80
37997,14920,79
40161,14920,81
42479,14920,80
37998,14921,79
40162,14921,81
42480,14921,80
38033,14956,79
40197,14956,81
42512,14956,80
38034,14957,79
40198,14957,81
42513,14957,80
38035,14958,79
40199,14958,81
42514,14958,80
38036,14959,79
40200,14959,81
42515,14959,80
38037,14960,79
40201,14960,81
42516,14960,80
38038,14961,79
40202,14961,81
42517,14961,80
38039,14962,79
40203,14962,81
38040,14963,79
40204,14963,81
42518,14963,80
38041,14964,79
40205,14964,81
42519,14964,80
38042,14965,79
40206,14965,81
42520,14965,80
38043,14966,79
40207,14966,81
42521,14966,80
38044,14967,79
40208,14967,81
42522,14967,80
38045,14968,79
40209,14968,81
42523,14968,80
38046,14969,79
40210,14969,81
42524,14969,80
38047,14970,79
40211,14970,81
42525,14970,80
38048,14971,79
40212,14971,81
38049,14972,79
40213,14972,81
42526,14972,80
38050,14973,79
40214,14973,81
42527,14973,80
38286,15209,79
39926,15209,81
44035,15209,80
38287,15210,79
39927,15210,81
44036,15210,80
38288,15211,79
39928,15211,81
44037,15211,80
38289,15212,79
39929,15212,81
44038,15212,80
38290,15213,79
39930,15213,81
44039,15213,80
38291,15214,79
39931,15214,81
44040,15214,80
38292,15215,79
39932,15215,81
44041,15215,80
38293,15216,79
39933,15216,81
44042,15216,80
38294,15217,79
39934,15217,81
44043,15217,80
38295,15218,79
39935,15218,81
44044,15218,80
38296,15219,79
39936,15219,81
44045,15219,80
38297,15220,79
39937,15220,81
44046,15220,80
38298,15221,79
39938,15221,81
44047,15221,80
38299,15222,79
39939,15222,81
44048,15222,80
38300,15223,79
39940,15223,81
44049,15223,80
38301,15224,79
39941,15224,81
44050,15224,80
38302,15225,79
39942,15225,81
44051,15225,80
38303,15226,79
39943,15226,81
44052,15226,80
38304,15227,79
39944,15227,81
38305,15228,79
39945,15228,81
44053,15228,80
38306,15229,79
39946,15229,81
44054,15229,80
38307,15230,79
39947,15230,81
44055,15230,80
38308,15231,79
39948,15231,81
44056,15231,80
38309,15232,79
39949,15232,81
44057,15232,80
38310,15233,79
39950,15233,81
44058,15233,80
38311,15234,79
39951,15234,81
44059,15234,80
38312,15235,79
39952,15235,81
38313,15236,79
39953,15236,81
44060,15236,80
