id,discipline_id,semester_id
127,127,1
128,128,1
129,129,1
130,130,1
11396,130,8
131,131,1
132,132,1
11397,132,8
133,133,1
134,134,1
11394,134,8
14916,134,9
17397,134,10
208,208,1
209,209,1
210,210,1
211,211,1
212,212,1
213,213,1
214,214,1
11305,214,8
15235,214,9
17555,214,10
747,747,1
748,748,1
749,749,1
750,750,1
751,751,1
752,752,1
11152,752,8
753,753,1
11153,753,8
754,754,1
11150,754,8
14900,754,9
17381,754,10
1018,1018,1
11182,1018,8
13521,1018,9
1019,1019,1
1020,1020,1
1021,1021,1
11181,1021,8
13520,1021,9
1022,1022,1
1023,1023,1
1024,1024,1
11180,1024,8
1025,1025,1
11183,1025,8
1094,1094,1
1095,1095,1
1096,1096,1
1097,1097,1
1098,1098,1
1099,1099,1
1100,1100,1
11173,1100,8
15227,1100,9
17548,1100,10
1266,1266,1
11036,1266,8
1267,1267,1
1268,1268,1
1269,1269,1
1270,1270,1
1271,1271,1
1272,1272,1
1510,1510,1
1511,1511,1
1512,1512,1
1513,1513,1
1514,1514,1
1515,1515,1
1516,1516,1
11165,1516,8
1517,1517,1
2282,2282,1
2541,2541,1
2563,2563,1
10410,8437,1
10415,8442,1
10508,8529,1
10549,8561,1
10555,8565,1
10568,8576,1
11034,8912,8
11035,8913,8
11037,8914,8
11038,8915,8
11039,8916,8
11040,8917,8
11148,8988,8
11149,8989,8
11151,8990,8
11154,8991,8
11155,8992,8
11156,8993,8
11163,9000,8
11164,9001,8
11166,9002,8
11167,9003,8
11168,9004,8
11169,9005,8
11170,9006,8
11171,9007,8
11172,9008,8
11174,9009,8
11175,9010,8
11176,9011,8
11177,9012,8
11178,9013,8
11179,9014,8
11184,9015,8
11302,9096,8
11303,9097,8
11304,9098,8
11306,9099,8
11307,9100,8
11308,9101,8
11392,9157,8
11393,9158,8
11395,9159,8
11398,9160,8
11399,9161,8
11400,9162,8
13517,10800,9
13518,10801,9
13519,10802,9
13522,10803,9
13896,11133,9
13897,11134,9
13898,11135,9
16657,11135,10
13899,11136,9
13900,11137,9
13901,11138,9
13902,11139,9
16656,11139,10
13903,11140,9
16658,11140,10
14094,11312,9
14095,11313,9
14096,11314,9
16788,11314,10
14097,11315,9
14098,11316,9
14099,11317,9
14100,11318,9
16787,11318,10
14101,11319,9
16789,11319,10
14898,12043,9
14899,12044,9
14901,12045,9
17382,12045,10
14902,12046,9
14903,12047,9
17384,12047,10
14904,12048,9
14905,12049,9
14914,12057,9
14915,12058,9
14917,12059,9
17398,12059,10
14918,12060,9
14919,12061,9
17400,12061,10
14920,12062,9
14921,12063,9
14956,12091,9
14957,12092,9
14958,12093,9
16486,12093,10
14959,12094,9
14960,12095,9
14961,12096,9
16488,12096,10
19150,12096,11
14962,12097,9
16489,12097,10
14963,12098,9
16490,12098,10
14964,12099,9
14965,12100,9
14966,12101,9
14967,12102,9
16570,12102,10
14968,12103,9
14969,12104,9
14970,12105,9
16572,12105,10
19233,12105,11
14971,12106,9
16573,12106,10
14972,12107,9
16574,12107,10
14973,12108,9
15209,12321,9
15210,12322,9
15211,12323,9
15212,12324,9
15213,12325,9
15214,12326,9
15215,12327,9
15216,12328,9
15217,12329,9
15218,12330,9
15219,12331,9
15220,12332,9
15221,12333,9
15222,12334,9
15223,12335,9
15224,12336,9
15225,12337,9
15226,12338,9
15228,12339,9
15229,12340,9
15230,12341,9
15231,12342,9
15232,12343,9
15233,12344,9
15234,12345,9
15236,12346,9
15237,12347,9
15238,12348,9
15779,12832,9
15780,12833,9
15781,12834,9
15782,12835,9
15784,12837,9
16484,13362,10
16485,13363,10
16487,13364,10
16568,13414,10
16569,13415,10
16571,13416,10
16653,13465,10
19355,13465,11
16654,13466,10
16655,13467,10
16659,13468,10
16660,13469,10
19543,13552,11
16784,13552,10
16785,13553,10
16786,13554,10
16790,13555,10
16791,13556,10
17378,13974,10
17379,13975,10
17380,13976,10
17383,13977,10
17385,13978,10
17394,13984,10
17395,13985,10
17396,13986,10
17399,13987,10
17401,13988,10
17538,14096,10
17539,14097,10
17540,14098,10
17541,14099,10
17542,14100,10
17543,14101,10
17544,14102,10
17545,14103,10
17546,14104,10
17547,14105,10
17549,14106,10
17550,14107,10
17551,14108,10
17552,14109,10
17553,14110,10
17554,14111,10
17556,14112,10
17557,14113,10
17558,14114,10
17559,14115,10
17560,14116,10
17561,14117,10
17571,14125,10
17572,14126,10
17573,14127,10
17574,14128,10
17575,14129,10
17576,14130,10
17577,14131,10
18334,14749,10
18335,14750,10
18471,14886,10
18472,14887,10
19149,15477,11
19151,15478,11
19152,15479,11
19153,15480,11
19154,15481,11
24797,15481,12
19155,15482,11
24796,15482,12
19157,15484,11
24224,15484,12
19158,15485,11
24222,15485,12
19159,15486,11
24223,15486,12
19160,15487,11
19161,15488,11
24220,15488,12
19162,15489,11
19163,15490,11
19164,15491,11
19232,15550,11
19234,15551,11
19235,15552,11
19236,15553,11
19237,15554,11
24807,15554,12
19238,15555,11
24806,15555,12
19240,15557,11
19241,15558,11
24970,15558,12
19242,15559,11
24969,15559,12
19243,15560,11
24968,15560,12
19244,15561,11
19245,15562,11
24967,15562,12
19246,15563,11
19247,15564,11
19248,15565,11
19249,15566,11
19250,15567,11
24233,15567,12
19251,15568,11
24231,15568,12
19252,15569,11
24232,15569,12
19253,15570,11
19254,15571,11
24229,15571,12
19255,15572,11
19256,15573,11
19257,15574,11
19340,15649,11
24979,15650,12
19341,15650,11
19342,15651,11
24978,15651,12
19343,15652,11
24977,15652,12
19344,15653,11
19345,15654,11
24976,15654,12
19346,15655,11
19347,15656,11
19348,15657,11
19349,15658,11
19350,15659,11
19351,15660,11
19352,15661,11
19353,15662,11
19354,15663,11
19357,15665,11
23117,15665,12
19359,15667,11
23115,15667,12
19360,15668,11
19361,15669,11
19362,15670,11
19363,15671,11
19429,15732,11
19430,15733,11
24988,15733,12
19431,15734,11
24987,15734,12
19432,15735,11
24986,15735,12
19433,15736,11
19434,15737,11
24985,15737,12
19435,15738,11
19436,15739,11
19437,15740,11
19438,15741,11
19455,15757,11
23126,15757,12
19456,15758,11
23125,15758,12
19457,15759,11
23124,15759,12
19458,15760,11
19459,15761,11
19460,15762,11
19461,15763,11
19538,15833,11
19539,15834,11
19540,15835,11
19541,15836,11
19542,15837,11
19545,15839,11
23135,15839,12
19546,15840,11
23134,15840,12
19547,15841,11
23133,15841,12
19548,15842,11
19549,15843,11
19550,15844,11
19551,15845,11
20439,16659,11
20440,16660,11
20442,16662,11
20443,16663,11
20444,16664,11
20445,16665,11
20446,16666,11
20455,16675,11
20456,16676,11
20457,16677,11
20458,16678,11
20459,16679,11
20460,16680,11
20461,16681,11
20462,16682,11
20592,16799,11
20593,16800,11
20594,16801,11
20595,16802,11
20596,16803,11
20597,16804,11
20598,16805,11
20599,16806,11
20600,16807,11
20601,16808,11
20602,16809,11
20603,16810,11
20604,16811,11
20605,16812,11
20614,16820,11
20615,16821,11
20616,16822,11
20617,16823,11
20619,16824,11
20620,16825,11
20621,16826,11
21175,17297,11
21176,17298,11
21177,17299,11
21178,17300,11
21179,17301,11
21180,17302,11
44308,17302,10
44307,17302,9
21345,17467,10
21347,17469,10
21356,17478,10
21362,17484,10
21363,17485,10
21388,17510,10
21390,17512,10
21579,17696,11
23049,19045,12
23050,19046,12
23051,19047,12
23052,19048,12
23053,19049,12
23055,19051,12
23056,19052,12
23057,19053,12
23058,19054,12
23059,19055,12
23060,19056,12
23061,19057,12
23062,19058,12
23064,19060,12
23065,19061,12
23066,19062,12
23067,19063,12
23068,19064,12
13516,19065,9
17570,19065,10
20618,19065,11
23069,19065,12
23070,19066,12
23071,19067,12
23072,19068,12
23073,19069,12
23074,19070,12
23075,19071,12
23085,19081,12
23086,19082,12
19356,19083,11
23087,19083,12
33680,19083,14
26904,19083,13
23088,19084,12
23089,19085,12
23090,19086,12
23091,19087,12
23092,19088,12
23093,19089,12
23103,19099,12
23104,19100,12
19544,19101,11
23105,19101,12
26922,19101,13
33698,19101,14
23106,19102,12
23107,19103,12
23108,19104,12
23109,19105,12
23110,19106,12
23111,19107,12
23112,19108,12
26929,19108,13
23113,19109,12
23114,19110,12
19358,19111,11
23116,19111,12
23118,19112,12
23119,19113,12
23120,19114,12
23121,19115,12
26936,19115,13
23122,19116,12
23123,19117,12
23127,19118,12
23128,19119,12
23129,19120,12
23130,19121,12
26943,19121,13
23131,19122,12
23132,19123,12
23136,19124,12
23137,19125,12
23138,19126,12
24217,20032,12
24218,20033,12
27803,20033,13
24219,20034,12
24221,20035,12
24225,20036,12
24226,20037,12
27810,20038,13
24227,20038,12
24228,20039,12
24230,20040,12
24234,20041,12
24793,20501,12
19156,20502,11
24794,20502,12
28291,20502,13
33217,20502,14
24795,20503,12
24798,20504,12
24799,20505,12
24800,20506,12
24801,20507,12
24802,20508,12
24803,20509,12
19239,20510,11
24804,20510,12
28299,20510,13
33227,20510,14
24805,20511,12
24808,20512,12
24809,20513,12
24810,20514,12
24811,20515,12
24812,20516,12
24964,20633,12
24965,20634,12
24966,20635,12
24971,20636,12
24972,20637,12
24973,20638,12
24974,20639,12
24975,20640,12
24980,20641,12
24981,20642,12
24982,20643,12
24983,20644,12
24984,20645,12
24989,20646,12
24990,20647,12
26075,21706,12
26076,21707,12
26077,21708,12
26078,21709,12
20441,21710,11
26079,21710,12
26080,21711,12
26081,21712,12
26082,21713,12
26083,21714,12
26084,21715,12
26085,21716,12
26086,21717,12
26087,21718,12
26088,21719,12
26089,21720,12
26090,21721,12
26091,21722,12
26092,21723,12
26110,21740,12
26111,21741,12
21181,21742,11
26112,21742,12
27797,21742,13
33601,21742,14
26113,21743,12
26114,21744,12
26115,21745,12
26116,21746,12
26117,21747,12
26118,21748,12
26883,22367,13
26884,22368,13
26885,22369,13
26886,22370,13
26887,22371,13
26888,22372,13
26889,22373,13
26890,22374,13
26891,22375,13
26901,22385,13
26902,22386,13
26903,22387,13
26905,22388,13
26906,22389,13
26907,22390,13
26908,22391,13
26909,22392,13
26919,22401,13
26920,22402,13
26921,22403,13
26923,22404,13
26924,22405,13
26925,22406,13
26926,22407,13
26927,22408,13
26928,22409,13
33707,22409,14
36656,22409,15
42285,22409,16
26930,22410,13
26931,22411,13
26932,22412,13
26933,22413,13
26934,22414,13
26935,22415,13
33716,22415,14
36665,22415,15
42294,22415,16
26937,22416,13
26938,22417,13
26939,22418,13
26940,22419,13
26941,22420,13
26942,22421,13
33725,22421,14
36674,22421,15
42303,22421,16
26944,22422,13
26945,22423,13
26946,22424,13
26947,22425,13
26948,22426,13
27793,23135,13
27794,23136,13
27795,23137,13
27796,23138,13
27798,23139,13
27799,23140,13
27800,23141,13
27801,23142,13
27802,23143,13
36577,23143,15
33609,23143,14
42174,23143,16
27804,23144,13
27805,23145,13
27806,23146,13
27807,23147,13
27808,23148,13
27809,23149,13
33618,23149,14
36586,23149,15
42182,23149,16
27811,23150,13
27812,23151,13
27813,23152,13
27814,23153,13
27815,23154,13
28289,23534,13
28290,23535,13
28292,23536,13
33218,23536,14
28293,23537,13
28294,23538,13
28295,23539,13
33219,23539,14
28296,23540,13
28297,23541,13
28298,23542,13
28300,23543,13
33228,23543,14
28301,23544,13
28302,23545,13
28303,23546,13
33229,23546,14
28304,23547,13
28534,23729,13
33244,23729,14
36251,23729,15
41759,23729,16
28535,23730,13
33246,23730,14
28536,23731,13
33247,23731,14
28537,23732,13
28538,23733,13
28539,23734,13
28540,23735,13
28541,23736,13
28542,23737,13
28543,23738,13
33252,23738,14
36262,23738,15
41768,23738,16
28544,23739,13
33254,23739,14
28545,23740,13
33255,23740,14
28546,23741,13
28547,23742,13
28548,23743,13
28549,23744,13
28550,23745,13
28551,23746,13
28552,23747,13
33260,23747,14
36273,23747,15
41777,23747,16
28553,23748,13
33262,23748,14
28554,23749,13
33263,23749,14
28555,23750,13
28556,23751,13
28557,23752,13
28558,23753,13
28559,23754,13
28560,23755,13
33212,27031,14
33213,27032,14
33214,27033,14
33215,27034,14
33216,27035,14
33220,27036,14
33221,27037,14
33222,27038,14
33223,27039,14
33224,27040,14
33225,27041,14
33226,27042,14
33230,27043,14
33231,27044,14
33242,27052,14
33243,27053,14
33245,27054,14
33248,27055,14
33249,27056,14
33250,27057,14
33251,27058,14
33253,27059,14
33256,27060,14
33257,27061,14
33258,27062,14
33259,27063,14
33261,27064,14
33264,27065,14
33265,27066,14
33598,27314,14
33599,27315,14
33600,27316,14
33602,27317,14
33603,27318,14
33604,27319,14
33605,27320,14
33606,27321,14
33607,27322,14
33608,27323,14
33610,27324,14
33611,27325,14
33612,27326,14
33613,27327,14
33614,27328,14
33615,27329,14
33616,27330,14
33617,27331,14
33619,27332,14
33620,27333,14
33621,27334,14
33622,27335,14
33623,27336,14
33668,27371,14
33669,27372,14
33670,27373,14
33671,27374,14
33672,27375,14
33673,27376,14
33674,27377,14
33675,27378,14
33676,27379,14
33677,27380,14
33678,27381,14
33679,27382,14
33681,27383,14
33682,27384,14
33683,27385,14
33684,27386,14
33685,27387,14
33695,27396,14
33696,27397,14
33697,27398,14
33699,27399,14
33700,27400,14
33701,27401,14
33702,27402,14
33703,27403,14
33704,27404,14
33705,27405,14
33706,27406,14
33708,27407,14
33709,27408,14
33710,27409,14
33711,27410,14
33712,27411,14
33713,27412,14
33714,27413,14
33715,27414,14
33717,27415,14
33718,27416,14
33719,27417,14
33720,27418,14
33721,27419,14
33722,27420,14
33723,27421,14
33724,27422,14
33726,27423,14
33727,27424,14
33728,27425,14
33729,27426,14
33730,27427,14
34564,28089,9
34565,28090,10
34566,28091,9
34567,28092,10
34574,28099,11
34575,28100,11
36215,29279,15
36216,29280,15
36218,29282,15
36220,29284,15
36221,29285,15
36222,29286,15
41731,29286,16
36223,29287,15
36224,29288,15
36225,29289,15
36226,29290,15
36228,29292,15
36230,29294,15
36231,29295,15
36232,29296,15
41739,29296,16
36233,29297,15
36234,29298,15
36245,29309,15
36246,29310,15
36248,29312,15
36250,29314,15
36252,29315,15
41758,29315,16
36253,29316,15
41757,29316,16
36254,29317,15
41756,29317,16
36255,29318,15
36256,29319,15
36257,29320,15
36259,29322,15
36261,29324,15
36263,29325,15
41767,29325,16
36264,29326,15
41766,29326,16
36265,29327,15
41765,29327,16
36266,29328,15
36267,29329,15
36268,29330,15
36270,29332,15
36272,29334,15
36274,29335,15
41776,29335,16
36275,29336,15
41775,29336,16
36276,29337,15
41774,29337,16
36277,29338,15
36564,29584,15
36565,29585,15
36566,29586,15
36567,29587,15
36568,29588,15
36569,29589,15
36570,29590,15
36571,29591,15
36572,29592,15
36573,29593,15
36574,29594,15
36575,29595,15
36576,29596,15
36578,29597,15
36579,29598,15
36580,29599,15
36581,29600,15
36582,29601,15
36583,29602,15
36584,29603,15
36585,29604,15
36587,29605,15
36588,29606,15
36589,29607,15
36590,29608,15
36625,29637,15
36626,29638,15
36627,29639,15
36628,29640,15
36629,29641,15
36630,29642,15
36631,29643,15
36632,29644,15
36633,29645,15
36643,29655,15
36644,29656,15
36645,29657,15
36646,29658,15
36647,29659,15
36648,29660,15
36649,29661,15
36650,29662,15
36651,29663,15
36652,29664,15
36653,29665,15
36654,29666,15
36655,29667,15
36657,29668,15
36658,29669,15
36659,29670,15
36660,29671,15
36661,29672,15
36662,29673,15
36663,29674,15
36664,29675,15
36666,29676,15
36667,29677,15
36668,29678,15
36669,29679,15
36670,29680,15
36671,29681,15
36672,29682,15
36673,29683,15
36675,29684,15
36676,29685,15
36677,29686,15
36678,29687,15
41730,33682,16
41732,33683,16
41734,33685,16
41736,33687,16
41737,33688,16
41738,33689,16
41740,33690,16
41742,33692,16
