id,number,edu_program_full_title
18,435-3,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2015г., очная, АСУ"
28,585-2,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2015г., очная, КСУП"
93,435-1,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2015г., очная, АСУ"
127,586-2,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2016г., очная, КСУП"
136,585-1,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2015г., очная, КСУП"
157,584-1,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2014г., очная, КСУП"
188,584-2,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2014г., очная, КСУП"
363,587-1,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2017г., очная, КСУП"
374,587-3,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2017г., очная, КСУП"
413,437-1,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2016г., очная, АСУ"
414,437-2,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2016г., очная, АСУ"
469,548-1,"09.03.01, Информатика и вычислительная техника, Автоматизированное управление бизнес-процессами и финансами, 2018г., очная, ЭМИС"
472,438-1,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2018г., очная, АСУ"
473,548-2,"09.03.01, Информатика и вычислительная техника, Автоматизированное управление бизнес-процессами и финансами, 2018г., очная, ЭМИС"
477,438-2,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2018г., очная, АСУ"
478,588-1,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2018г., очная, КСУП"
482,438-3,"09.03.01, Информатика и вычислительная техника, Программное обеспечение средств вычислительной техники и автоматизированных систем, 2018г., очная, АСУ"
483,588-2,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2018г., очная, КСУП"
488,588-3,"09.03.01, Информатика и вычислительная техника, Системы автоматизированного проектирования, 2018г., очная, КСУП"
541,547,"09.03.01, Информатика и вычислительная техника, Автоматизированное управление бизнес-процессами и финансами, 2017г., очная, ЭМИС"
