id,abbr,semester_id
38,Зачет,13
39,Экзамен,13
40,Диф. зачет,13
41,Зачет,14
42,Диф. зачет,14
43,Экзамен,14
44,Экзамен,15
45,Диф. зачет,15
46,Зачет,15
47,Экзамен,16
48,Зачет,16
49,Диф. зачет,16
50,Экзамен,17
51,Диф. зачет,17
52,Зачет,17
53,Экзамен,18
54,Диф. зачет,18
55,Зачет,18
56,Зачет,19
57,Экзамен,19
58,Курсовое проектирование / Курсовая работа,19
59,Диф. зачет,19
60,Зачет,20
61,Экзамен,20
62,Курсовое проектирование / Курсовая работа,20
63,Диф. зачет,20
64,,20
65,Экзамен,21
66,,21
67,Зачет,21
68,Курсовое проектирование / Курсовая работа,21
69,Зачет,22
70,Экзамен,22
71,Курсовое проектирование / Курсовая работа,22
72,,22
73,Зачет с оценкой,21
74,Зачет с оценкой,22
75,Зачет,23
76,Экзамен,23
77,Курсовое проектирование / Курсовая работа,23
78,Зачет с оценкой,23
79,Экзамен,24
80,,24
81,Зачет,24
82,Зачет с оценкой,24
83,Курсовое проектирование / Курсовая работа,24
