id,education_id,exam_type_id
48330,45725,39
48331,45726,39
48332,45727,39
48333,45729,40
48334,45730,39
48335,45731,40
48336,45732,40
48337,45733,39
48338,45734,39
48339,45735,39
48340,45737,40
48341,45738,39
48342,45739,40
48343,45740,40
48344,45741,39
48345,45742,39
48346,45743,39
48347,45743,40
48348,45744,38
48349,45745,38
48350,45746,39
48351,45747,38
48352,45749,39
48353,45750,39
48354,45751,39
48355,45751,40
48356,45752,38
48357,45753,38
48358,45754,39
48359,45755,38
48376,45773,38
48377,45774,38
48378,45775,39
48379,45776,39
48380,45777,40
48381,45779,39
48382,45780,39
48964,46375,39
48965,46376,39
48966,46377,39
48967,46378,39
48968,46379,38
48969,46380,38
48970,46381,38
48978,46391,39
48979,46392,39
48980,46393,39
48981,46394,39
48982,46395,38
48983,46396,38
48984,46397,38
51221,48788,43
51222,48789,43
51223,48790,43
51224,48791,43
51225,48791,42
51226,48792,41
51227,48793,42
51228,48794,42
51229,48795,43
51230,48796,43
51231,48797,43
51232,48798,43
51233,48798,42
51234,48799,41
51235,48800,42
51236,48801,42
51237,48802,43
51238,48803,43
51239,48804,43
51240,48805,41
51241,48806,43
51242,48807,42
51243,48808,42
51244,48809,43
51245,48810,43
51246,48811,43
51247,48812,41
51248,48813,43
51249,48814,42
51250,48815,41
51259,48824,43
51260,48825,43
51261,48826,43
51262,48827,41
51263,48828,41
51264,48829,41
51265,48830,43
51266,48831,41
51558,49117,43
51559,49118,43
51560,49119,41
51561,49120,43
51562,49121,43
51563,49122,43
51564,49123,41
51565,49124,42
51566,49125,42
51576,49135,43
51577,49136,43
51578,49137,41
51579,49138,43
51580,49139,43
51581,49140,43
51582,49141,41
51583,49142,42
51584,49143,42
54246,51982,44
54247,51983,44
54248,51984,44
54249,51986,45
54250,51987,44
54251,51988,45
54252,51989,45
54253,51990,44
54254,51991,44
54255,51992,44
54256,51994,45
54257,51995,44
54258,51996,45
54259,51997,46
54267,52005,46
54268,52006,44
54269,52007,44
54270,52008,44
54271,52008,45
54272,52009,46
54273,52010,44
54291,52027,46
54292,52028,46
54293,52029,44
54294,52030,44
54295,52031,45
54296,52033,44
54297,52034,44
54305,52043,46
54306,52044,46
54307,52045,44
54308,52046,44
54309,52047,46
54310,52049,44
