lesson_id,training_id
15346,17067
15347,17067
15148,17068
14994,17070
15138,17072
15133,17073
15345,17074
15284,17075
15285,17075
14485,17076
14488,17076
15456,17077
15457,17077
14538,17079
15048,17080
15342,17081
15343,17081
15041,17082
15453,17083
15059,17083
15437,17084
15438,17084
15439,17084
15440,17084
14320,17085
14325,17085
14287,17086
14289,17086
14621,17086
14622,17086
15319,17087
15320,17087
13681,17088
13656,17088
13657,17088
13658,17088
13659,17088
13660,17088
15346,17089
15347,17089
15148,17090
15345,17090
14994,17092
15138,17094
15133,17095
15323,17097
15325,17097
14485,17098
14488,17098
15770,17099
15771,17099
15458,17101
15048,17102
15452,17103
15451,17103
14625,17104
15453,17105
15059,17105
15441,17106
15442,17106
15350,17106
15349,17106
14320,17107
14325,17107
14546,17108
14548,17108
14984,17108
14985,17108
15280,17109
15279,17109
13681,17110
13656,17110
13657,17110
13658,17110
13659,17110
13660,17110
18054,17236
17870,17236
18079,17237
17859,17238
18038,17239
18076,17240
17951,17241
17871,17242
17962,17243
17846,17244
18080,17245
17863,17245
17952,17245
18099,17246
17861,17246
17998,17247
17843,17247
18056,17248
17842,17248
18025,17249
17959,17249
18026,17251
18001,17252
18045,17252
17845,17252
18292,17253
18293,17253
18060,17254
17873,17254
17964,17255
17965,17255
18295,17257
18296,17257
17898,17259
17899,17259
17900,17259
17901,17259
17902,17259
17903,17259
18054,17261
17870,17261
18079,17262
18107,17263
18038,17264
18027,17265
17951,17266
17862,17267
17962,17268
18010,17269
17863,17270
18106,17271
17860,17271
17998,17272
18080,17272
17843,17272
17952,17272
17993,17273
17872,17273
18025,17274
17959,17274
18057,17276
18001,17277
18045,17277
17845,17277
18288,17278
18289,17278
18060,17279
17873,17279
18109,17280
18110,17280
18298,17282
18300,17282
17904,17284
17908,17284
17909,17284
17910,17284
17911,17284
17912,17284
23162,19278
23173,19278
28462,19278
23084,19279
24045,19280
22939,19281
28400,19281
28945,19282
22955,19283
22956,19283
28606,19284
28607,19284
23308,19285
23309,19285
28545,19285
28546,19285
23313,19286
23314,19286
28506,19286
28550,19286
23310,19287
23311,19287
28547,19287
28548,19287
28839,19288
28840,19288
23211,19289
23401,19289
23395,19289
28521,19289
28576,19289
28579,19289
29518,19290
23404,19290
23405,19290
29517,19290
28583,19290
28584,19290
23396,19291
23402,19291
28574,19291
28582,19291
23928,19292
23929,19292
23102,19292
23103,19292
28727,19292
28728,19292
28922,19292
28923,19292
22953,19293
22954,19293
28710,19293
28723,19293
23925,19294
28836,19294
23917,19295
23125,19295
23149,19295
23150,19295
28613,19295
28614,19295
28711,19295
28712,19295
23236,19296
28527,19296
23237,19297
23238,19297
23239,19297
23240,19297
23241,19297
28528,19297
28529,19297
28530,19297
28531,19297
28532,19297
23162,19299
23173,19299
28462,19299
23084,19300
23153,19301
22939,19302
28400,19302
29038,19303
22955,19304
22956,19304
28606,19305
28607,19305
23308,19306
23309,19306
28545,19306
28546,19306
23387,19307
23388,19307
28568,19307
28569,19307
23310,19308
23311,19308
28547,19308
28548,19308
28731,19309
28732,19309
23211,19310
23401,19310
23395,19310
28521,19310
28576,19310
28579,19310
23394,19311
23393,19311
28573,19311
28578,19311
28615,19311
28616,19311
23396,19312
23402,19312
28574,19312
28582,19312
23926,19313
23927,19313
23127,19313
23128,19313
28713,19313
28714,19313
28929,19313
28930,19313
22953,19314
22954,19314
28710,19314
28723,19314
23924,19315
28383,19315
29520,19316
23105,19316
23104,19316
23213,19316
23214,19316
29519,19316
28842,19316
28844,19316
23236,19317
28527,19317
23237,19318
23238,19318
23239,19318
23240,19318
23241,19318
28528,19318
28529,19318
28530,19318
28531,19318
28532,19318
23847,23404
23719,23404
29878,23404
23192,23405
23664,23406
23146,23407
28896,23407
29738,23407
29906,23407
23523,23408
23161,23409
28897,23409
29739,23409
29907,23409
23526,23410
29754,23410
23447,23411
29911,23411
29294,23411
29750,23411
23202,23412
23203,23412
29908,23412
29909,23412
28899,23412
28901,23412
29741,23412
29742,23412
29926,23413
29927,23413
23720,23414
23857,23414
29961,23414
29873,23414
23565,23415
23567,23415
23649,23415
23650,23415
29827,23415
29828,23415
29846,23415
29847,23415
23564,23416
23630,23416
23861,23416
29966,23416
29826,23416
23481,23417
23482,23417
29736,23417
29740,23417
23858,23418
23859,23418
29965,23418
29886,23418
23647,23419
23648,23419
23662,23419
23663,23419
29780,23419
29781,23419
29785,23419
