id,day,number,parity,name,cached_groups,kind,semester_id,period
13656,4,2,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13656,4,2,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13657,4,3,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13657,4,3,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13658,4,1,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13658,4,1,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13659,4,2,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13659,4,2,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13660,4,3,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13660,4,3,even,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13681,4,1,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
13681,4,1,odd,Управление объектами (ГПО 1 *),"588-1, 588-2, 589-1, 589-2",practice,3,after_breaking
14287,1,3,odd,Автоматизация конструкторского и технологического проектирования,588-1,laboratory,3,after_breaking
14289,1,4,odd,Автоматизация конструкторского и технологического проектирования,588-1,laboratory,3,after_breaking
14320,1,5,odd,Автоматизация конструкторского и технологического проектирования,"588-1, 588-2",lecture,3,after_breaking
14320,1,5,odd,Автоматизация конструкторского и технологического проектирования,"588-1, 588-2",lecture,3,after_breaking
14325,1,5,even,Автоматизация конструкторского и технологического проектирования,"588-1, 588-2",lecture,3,after_breaking
14325,1,5,even,Автоматизация конструкторского и технологического проектирования,"588-1, 588-2",lecture,3,after_breaking
14485,1,6,odd,Методы и средства защиты компьютерной информации,"588-1, 588-2",lecture,3,after_breaking
14485,1,6,odd,Методы и средства защиты компьютерной информации,"588-1, 588-2",lecture,3,after_breaking
14488,1,6,even,Методы и средства защиты компьютерной информации,"588-1, 588-2",lecture,3,after_breaking
14488,1,6,even,Методы и средства защиты компьютерной информации,"588-1, 588-2",lecture,3,after_breaking
14538,1,7,even,Лингвистическое и программное обеспечение САПР,588-1,research,3,after_breaking
14546,1,3,even,Автоматизация конструкторского и технологического проектирования,588-2,laboratory,3,after_breaking
14548,1,4,even,Автоматизация конструкторского и технологического проектирования,588-2,laboratory,3,after_breaking
14621,2,3,even,Автоматизация конструкторского и технологического проектирования,588-1,laboratory,3,after_breaking
14622,2,4,even,Автоматизация конструкторского и технологического проектирования,588-1,laboratory,3,after_breaking
14625,2,5,even,Модели и методы анализа проектных решений,588-2,research,3,after_breaking
14984,2,2,odd,Автоматизация конструкторского и технологического проектирования,588-2,laboratory,3,after_breaking
14985,2,3,odd,Автоматизация конструкторского и технологического проектирования,588-2,laboratory,3,after_breaking
14994,2,4,odd,Политология,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
14994,2,4,odd,Политология,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
15041,2,5,odd,Модели и методы анализа проектных решений,588-1,research,3,after_breaking
15048,3,1,odd,Модели и методы анализа проектных решений,"588-1, 588-2",lecture,3,after_breaking
15048,3,1,odd,Модели и методы анализа проектных решений,"588-1, 588-2",lecture,3,after_breaking
15059,3,2,odd,Геометрическое моделирование в САПР,"588-1, 588-2",lecture,3,after_breaking
15059,3,2,odd,Геометрическое моделирование в САПР,"588-1, 588-2",lecture,3,after_breaking
15133,3,2,even,Дисциплина 2 (по выбору)***,"058, 518, 538, 588-1, 588-2",practice,3,after_breaking
15133,3,2,even,Дисциплина 2 (по выбору)***,"058, 518, 538, 588-1, 588-2",practice,3,after_breaking
15138,3,3,even,Дисциплина 2 (по выбору)***,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
15138,3,3,even,Дисциплина 2 (по выбору)***,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
15148,3,4,even,Психология и педагогика *** ****,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
15148,3,4,even,Психология и педагогика *** ****,"058, 518, 538, 588-1, 588-2",lecture,3,after_breaking
15279,4,4,odd,НИРС *** ****,588-2,laboratory,3,after_breaking
15280,4,5,odd,НИРС *** ****,588-2,laboratory,3,after_breaking
15284,4,5,odd,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,588-1,laboratory,3,after_breaking
15285,4,6,odd,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,588-1,laboratory,3,after_breaking
15319,4,4,even,НИРС *** ****,588-1,laboratory,3,after_breaking
15320,4,5,even,НИРС *** ****,588-1,laboratory,3,after_breaking
15323,4,6,even,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,588-2,laboratory,3,after_breaking
15325,4,5,even,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,588-2,laboratory,3,after_breaking
15342,5,1,odd,Модели и методы анализа проектных решений,588-1,laboratory,3,after_breaking
15343,5,2,odd,Модели и методы анализа проектных решений,588-1,laboratory,3,after_breaking
15345,5,4,odd,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,"588-1, 588-2",lecture,3,after_breaking
15345,5,4,odd,Распределенные базы данных/Технология созданий Интернет-приложений (по выбору) ** *** ****,"588-1, 588-2",lecture,3,after_breaking
