discipline_name,competence 
Введение в информатику и вычислительную технику,ПК-3
Дискретная математика,"ОК-7, ОПК-5 "
Информатика,"ОПК-1, ОПК-2, ОПК-4, ОПК-5 "
История,ОК-2
Математика,"ОК-7, ОПК-5 "
Программирование,"ОПК-1, ОПК-2 "
Русский язык и культура речи,ОК-5 
Математика,"ОК-7, ОПК-5 "
Математическая логика и теория алгоритмов,ОК-7
Основы информационных технологий,"ОПК-2, ПК-3 "
Программирование,"ОПК-1, ОПК-2 "
ЭВМ и периферийные устройства,"ОПК-5, ПК-3 "
Дополнительные главы математики,"ОПК-5, ПК-3 "
Культурология,ОК-6 
Объектно-ориентированное программирование,"ОПК-2, ПК-3 "
Структуры и алгоритмы обработки данных в ЭВМ,"ОПК-2, ОПК-5, ПК-3 "
Теория вероятностей и математическая статистика,"ОК-7, ОПК-5 "
Философия,ОК-1 
Экономика,ОК-3 
"Электротехника, электроника и схемотехника","ОПК-5, ПК-3 "
Вычислительная математика,ПК-3 
Компьютерная графика,ОПК-5
Объектно-ориентированное программирование,"ОПК-2, ПК-3 "
Разработка веб-сервисов для научных и прикладных задач,ПК-3
Структуры и алгоритмы обработки данных в ЭВМ,"ОПК-2, ОПК-5, ПК-3 "
Базы данных,"ОПК-2, ОПК-5 "
Менеджмент,"ОК-3, ОПК-3 "
Методы оптимизации,"ОПК-5, ПК-3 "
Операционные системы,"ОПК-1, ОПК-4, ПК-3 "
Сети и телекоммуникации,"ОПК-4, ПК-3 "
Системный анализ,ПК-3 
Базы данных,"ОПК-2, ОПК-5 "
Безопасность жизнедеятельности,ОК-9 
Метрология и технические измерения,ОПК-4 
Операционные системы,"ОПК-1, ОПК-4, ПК-3 "
Сети и телекоммуникации,"ОПК-4, ПК-3 "
Основы разработки программного обеспечения,ПК-3
Параллельное программирование,"ОПК-2, ПК-3 "
Правоведение,ОК-4 
Проектирование и техническое сопровождение компьютерных сетей,"ОПК-4, ПК-3 "
Системы цифровой обработки сигналов,"ОПК-2, ПК-3 "
Теория языков программирования и методы трансляции,"ОПК-2, ПК-3 "
Функциональное и логическое программирование,"ОПК-2, ПК-3 "
Защита информации,ОПК-5 
Исследование операций,ПК-3 
Проектирование и техническое сопровождение компьютерных сетей,"ОПК-4, ПК-3 "
Распределенные вычислительные системы,ПК-3 
