discipline_name,competence
Прикладная информатика,"ОПК-2, ПК-2 "
Физика для информатики,"ОК-7, ОПК-5, ПК-3 "
Информационные технологии,"ОПК-2, ПК-3 "
Физика для информатики,"ОК-7, ОПК-5, ПК-3 "
Теория информационных систем,"ОПК-2, ПК-3 "
Теория систем и системный анализ,"ОК-7, ОПК-5, ПК-3 "
Проблемно-ориентированные вычислительные системы,"ОПК-2, ПК-2 "
Теория принятия решения,"ОК-7, ПК-3 "
Финансовая математика,"ОК-3, ПК-3 "
Элективные дисциплины по физической культуре и спорту,ОК-8
Математические методы исследования систем,"ОК-7, ОПК-5, ПК-3 "
Технология программирования,"ОПК-2, ПК-2 "
Информационные системы в экономике,"ОПК-2, ПК-2 "
Моделирование систем,"ОК-7, ПК-3 "
Управление проектами,"ОК-3, ОПК-3, ПК-3 "
Информационно-аналитические системы управления,"ПК-2, ПК-3 "
Организация и планирование производства,"ОК-3, ОПК-3, ПК-3"
Языковые средства создания гипердокументов,"ОПК-5, ПК-3 "
