id,group_id,title,abbr
127,18,Математика,Математика
128,18,Математическая логика и теория алгоритмов,МЛиТА
129,18,Физика,Физика
130,18,Структуры и алгоритмы обработки данных в ЭВМ,СиАОДвЭВМ
131,18,ЭВМ и периферийные устройства,ЭВМиПУ
132,18,Объектно-ориентированное программирование,ОП
133,18,"Электротехника, электроника и схемотехника",ЭЭиС
134,18,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
208,28,Математика,Математика
209,28,Физика,Физика
210,28,Математическая логика и теория алгоритмов,МЛиТА
211,28,Объектно-ориентированное программирование,ОП
212,28,Теория систем и системный анализ,ТСиСА
213,28,Базы данных,БД
214,28,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
747,93,Математика,Математика
748,93,ЭВМ и периферийные устройства,ЭВМиПУ
749,93,Математическая логика и теория алгоритмов,МЛиТА
750,93,"Электротехника, электроника и схемотехника",ЭЭиС
751,93,Физика,Физика
752,93,Структуры и алгоритмы обработки данных в ЭВМ,СиАОДвЭВМ
753,93,Объектно-ориентированное программирование,ОП
754,93,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
1018,127,Математика,Математика
1019,127,Информатика,Информатика
1020,127,Инженерная графика,ИГ
1021,127,Физика для информатики,ФДИ
1022,127,Программирование,Программир.
1023,127,ЭВМ и периферийные устройства,ЭВМиПУ
1024,127,Физическая культура и спорт,ФКиС
1025,127,Иностранный язык,ИЯ
1094,136,Математика,Математика
1095,136,Математическая логика и теория алгоритмов,МЛиТА
1096,136,Объектно-ориентированное программирование,ОП
1097,136,Физика,Физика
1098,136,Базы данных,БД
1099,136,Теория систем и системный анализ,ТСиСА
1100,136,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
1266,157,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
1267,157,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
1268,157,Сети и телекоммуникации,СиТ
1269,157,Методы оптимальных решений,МОР
1270,157,Искусственный интеллект **,ИИ
1271,157,Теоретические основы механики / Механика,ТОМ
1272,157,Геометрическое моделирование / Геометрическое моделирование в САПР,ГМ
1510,188,Сети и телекоммуникации,СиТ
1511,188,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
1512,188,Методы оптимальных решений,МОР
1513,188,Теоретические основы механики / Механика,ТОМ
1514,188,Геометрическое моделирование / Геометрическое моделирование в САПР,ГМ
1515,188,Программная инженерия и технология (ГПО-2),ПИиТ
1516,188,Элективные дисциплины по физической культуре и спорту,ЭДФКиС
1517,188,Искусственный интеллект **,ИИ
2282,157,Программная инженерия и технология (ГПО-2),ПИиТ
2541,18,Учебная практика,УП
2563,93,Учебная практика,УП
8437,136,Компьютерная графика,КГ
8442,28,Компьютерная графика,КГ
8529,28,Учебная практика,УП
8561,136,Учебная практика,УП
8565,157,Производственная практика,ПП
8576,188,Производственная практика,ПП
8912,157,Объектно-ориентированное проектирование (ГПО-3),ОП
8913,157,Организация ЭВМ и систем ***,ОЭВМиС
8914,157,Модели и методы анализа проектных решений,МиМАПР
8915,157,Теория и системы управления,ТиСУ
8916,157,Социология,Социология
8917,157,Экономика,Экономика
8988,93,Робототехнические системы (ГПО-1) *,РС
8989,93,Учебно-исследовательская работа 1 *,У-ИР
8990,93,Основы разработки программного обеспечения,ОРПО
8991,93,Дополнительные главы математики,ДГМ
8992,93,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
8993,93,Инженерная и компьютерная графика,ИиКГ
9000,188,Объектно-ориентированное проектирование (ГПО-3),ОП
9001,188,Организация ЭВМ и систем ***,ОЭВМиС
9002,188,Модели и методы анализа проектных решений,МиМАПР
9003,188,Теория и системы управления,ТиСУ
9004,188,Социология,Социология
9005,188,Экономика,Экономика
9006,136,Управление проектами (ГПО-1),УП
9007,136,Вычислительная математика *,ВМ
9008,136,Риторика / Процессы коммуникаций в современном обществе (по выбору),Риторика
9009,136,"Метрология, стандартизация и сертификация",МСиС
9010,136,"Электротехника, электроника и схемотехника",ЭЭиС
9011,136,Философия,Философия
9012,127,Русский язык и культура речи,РЯиКР
9013,127,Операционные системы,ОС
9014,127,Дискретная математика,ДМ
9015,127,История,История
9096,28,Управление проектами (ГПО-1),УП
9097,28,Вычислительная математика *,ВМ
9098,28,Риторика / Процессы коммуникаций в современном обществе (по выбору),Риторика
9099,28,"Метрология, стандартизация и сертификация",МСиС
9100,28,"Электротехника, электроника и схемотехника",ЭЭиС
9101,28,Философия,Философия
9157,18,Робототехнические системы (ГПО-1) *,РС
9158,18,Учебно-исследовательская работа 1,У-ИР
9159,18,Основы разработки программного обеспечения,ОРПО
9160,18,Дополнительные главы математики,ДГМ
9161,18,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
9162,18,Инженерная и компьютерная графика,ИиКГ
10800,127,Структуры данных,СД
10801,127,Компьютерная графика,КГ
10802,127,Базы данных,БД
10803,127,Экономика,Экономика
11133,363,ЭВМ и периферийные устройства,ЭВМиПУ
11134,363,Программирование,Программир.
11135,363,Физическая культура и спорт,ФКиС
11136,363,Инженерная графика,ИГ
11137,363,Информатика,Информатика
11138,363,Физика для информатики,ФДИ
11139,363,Математика,Математика
11140,363,Иностранный язык,ИЯ
11312,374,ЭВМ и периферийные устройства,ЭВМиПУ
11313,374,Программирование,Программир.
11314,374,Физическая культура и спорт,ФКиС
11315,374,Инженерная графика,ИГ
11316,374,Информатика,Информатика
11317,374,Физика для информатики,ФДИ
11318,374,Математика,Математика
11319,374,Иностранный язык,ИЯ
12043,93,Анализ и обработка изображений (ГПО-2) **,АиОИ
12044,93,Учебно-исследовательская работа 2 **,УР
12045,93,Операционные системы,ОС
12046,93,Вычислительная математика,ВМ
12047,93,Базы данных,БД
12048,93,"Метрология, стандартизация и сертификация",МСиС
12049,93,Сети и телекоммуникации,СиТ
12057,18,Анализ и обработка изображений (ГПО-2) **,АиОИ
12058,18,Учебно-исследовательская работа 2 **,УР
12059,18,Операционные системы,ОС
12060,18,Вычислительная математика,ВМ
12061,18,Базы данных,БД
12062,18,"Метрология, стандартизация и сертификация",МСиС
12063,18,Сети и телекоммуникации,СиТ
12091,413,Русский язык и культура речи,РЯиКР
12092,413,Дискретная математика,ДМ
12093,413,Программирование,Программир.
12094,413,Информатика,Информатика
12095,413,Введение в информатику и вычислительную технику,ВвИиВТ
12096,413,Математика,Математика
12097,413,Физическая культура и спорт,ФКиС
12098,413,Иностранный язык,ИЯ
12099,413,История,История
12100,414,Русский язык и культура речи,РЯиКР
12101,414,Дискретная математика,ДМ
12102,414,Программирование,Программир.
12103,414,Информатика,Информатика
12104,414,Введение в информатику и вычислительную технику,ВвИиВТ
12105,414,Математика,Математика
12106,414,Физическая культура и спорт,ФКиС
12107,414,Иностранный язык,ИЯ
12108,414,История,История
12321,157,Информационные системы и САПР (групповое проектное обучение-ГПО 4),ИСиСАПР
12322,157,Технологии создания Интернет-приложений ****,ТСИ
12323,157,Основы разработки САПР,ОРСАПР
12324,157,Лингвистическое и программное обеспечение САПР,ЛиПОСАПР
12325,157,Автоматизация конструкторского и технологического проектирования,АКиТП
12326,157,Новые технологии в программировании,НТвП
12327,157,Защита информации,ЗИ
12328,188,Информационные системы и САПР (групповое проектное обучение-ГПО 4),ИСиСАПР
12329,188,Технологии создания Интернет-приложений ****,ТСИ
12330,188,Основы разработки САПР,ОРСАПР
12331,188,Лингвистическое и программное обеспечение САПР,ЛиПОСАПР
12332,188,Автоматизация конструкторского и технологического проектирования,АКиТП
12333,188,Новые технологии в программировании,НТвП
12334,188,Защита информации,ЗИ
12335,136,Программная инженерия и технология (ГПО-2),ПИиТ
12336,136,Искусственный интеллект **,ИИ
12337,136,Геометрическое моделирование / Геометрическое моделирование в САПР,ГМ
12338,136,Теоретические основы механики / Механика,ТОМ
12339,136,Методы оптимальных решений,МОР
12340,136,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
12341,136,Сети и телекоммуникации,СиТ
12342,28,Программная инженерия и технология (ГПО-2),ПИиТ
12343,28,Искусственный интеллект **,ИИ
12344,28,Геометрическое моделирование / Геометрическое моделирование в САПР,ГМ
12345,28,Теоретические основы механики / Механика,ТОМ
12346,28,Методы оптимальных решений,МОР
12347,28,"Теория вероятностей, математическая статистика и случайные процессы",ТВМСиСП
12348,28,Сети и телекоммуникации,СиТ
12832,157,Производственная практика (технологическая практика),ПП
12833,188,Производственная практика (технологическая практика),ПП
12834,136,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПП
12835,28,Практика по получению профессиональных умений и опыта профессиональной деятельности,ПП
12837,127,"Практика по получению первичных профессиональных умений и навыков, в том числе первичных умений и навыков научно-исследовательской деятельности",УП
13362,413,ЭВМ и периферийные устройства,ЭВМиПУ
13363,413,Математическая логика и теория алгоритмов,МЛиТА
13364,413,Основы информационных технологий,ОИТ
13414,414,ЭВМ и периферийные устройства,ЭВМиПУ
13415,414,Математическая логика и теория алгоритмов,МЛиТА
13416,414,Основы информационных технологий,ОИТ
13465,363,Физика для информатики,ФДИ
13466,363,Операционные системы,ОС
13467,363,Русский язык и культура речи,РЯиКР
13468,363,Профессиональный английский язык,ПАЯ
13469,363,История,История
13552,374,Физика для информатики,ФДИ
13553,374,Операционные системы,ОС
13554,374,Русский язык и культура речи,РЯиКР
13555,374,Профессиональный английский язык,ПАЯ
13556,374,История,История
13974,93,Распределённые вычислительные системы (ГПО-3) ***,РВС
13975,93,Учебно-исследовательская работа 3 ***,УР
13976,93,Исследование операций / Идентификация сложных систем,ИО
13977,93,Социология,Социология
13978,93,Безопасность жизнедеятельности,БЖ
13984,18,Распределённые вычислительные системы (ГПО-3) ***,РВС
13985,18,Учебно-исследовательская работа 3 ***,УР
13986,18,Исследование операций / Идентификация сложных систем,ИО
13987,18,Социология,Социология
13988,18,Безопасность жизнедеятельности,БЖ
14096,157,Научно-исследовательская работа студентов -1/ Научно-исследовательская работа студентов -2,НРС-
14097,157,Управление финансами / Маркетинг / Основы менеджмента (по выбору),УФ
14098,157,Промышленная логистика,ПЛ
14099,157,Правоведение,Правоведен.
14100,157,Безопасность жизнедеятельности,БЖ
14101,188,Научно-исследовательская работа студентов -1/ Научно-исследовательская работа студентов -2,НРС-
14102,188,Управление финансами / Маркетинг / Основы менеджмента (по выбору),УФ
14103,188,Промышленная логистика,ПЛ
