id,grade,student_id,discipline_semester_period_id,kind,marked_on,passed_on
766212,3,11162,43924,diff_qualification,2018-01-30,2018-01-16
780288,0,11162,43922,exam,2018-01-29,2018-01-12
780613,0,11162,43925,exam,2018-01-29,2018-01-16
780618,0,11162,43923,exam,2018-01-29,2018-01-23
784056,0,11162,43926,exam,2018-01-30,2018-01-30
784870,5,11162,43927,qualification,2018-01-30,2017-12-28
784873,0,11162,43928,qualification,2018-01-30,2018-01-09
793808,3,11246,44662,kt_1,2018-03-21,
794740,0,11191,45716,kt_1,2018-03-21,
800156,0,11202,45751,kt_1,2018-03-22,
802032,0,11191,45717,kt_1,2018-03-23,
803242,5,11246,44666,kt_1,2018-03-23,
803403,4,11202,45750,kt_1,2018-03-23,
803683,4,11246,44665,kt_1,2018-03-23,
804139,4,11191,45718,kt_1,2018-03-23,
805364,0,11162,44965,kt_1,2018-03-23,
805518,0,11202,45747,kt_1,2018-03-23,
808371,4,11191,45715,kt_1,2018-03-24,
811426,2,11162,44961,kt_1,2018-03-24,
812286,0,11162,44966,kt_1,2018-03-24,
812331,0,11162,44967,kt_1,2018-03-24,
812408,3,11246,44661,kt_1,2018-03-24,
812983,3,11246,44663,kt_1,2018-03-24,
814478,2,11246,44664,kt_1,2018-03-25,
815610,4,11246,44667,kt_1,2018-03-25,
816266,2,11202,45753,kt_1,2018-03-25,
817020,0,11191,45719,kt_1,2018-03-26,
822428,3,11202,45754,kt_1,2018-03-26,
823328,0,11162,44964,kt_1,2018-03-26,
823351,4,11162,44963,kt_1,2018-03-26,
823375,3,11162,44962,kt_1,2018-03-26,
824358,3,11162,44968,kt_1,2018-03-26,
826586,2,11202,45749,kt_1,2018-03-27,
826608,0,11202,45748,kt_1,2018-03-27,
826611,3,11202,28342,exam,2017-01-24,2017-01-24
826612,0,11202,28345,exam,2017-01-19,2017-01-19
826886,5,11191,27262,diff_qualification,2017-01-23,2017-01-23
827726,5,11246,42519,exam,2018-01-17,2018-03-02
827727,5,11246,42518,qualification,2018-01-08,2018-03-02
827728,4,11246,42517,exam,2018-01-22,2018-03-02
827729,4,11246,42515,exam,2018-01-29,2018-03-02
829007,0,11287,46521,qualification,2018-04-20,2018-04-16
829011,5,11191,46516,qualification,2018-04-16,2018-04-16
830186,5,11191,46517,qualification,2018-04-20,2018-04-20
830209,0,11287,46522,qualification,2018-04-20,2018-04-20
832469,0,11287,46524,exam,2018-05-03,2018-05-03
832533,4,11191,46519,exam,2018-05-03,2018-05-03
836116,2,11202,48015,kt_2,2018-05-03,
836149,0,11287,46520,exam,2018-05-03,2018-05-03
836182,3,11191,46515,exam,2018-05-03,2018-05-03
838302,4,11246,47144,kt_2,2018-05-10,
838327,0,11285,47210,kt_2,2018-05-04,
839277,2,11269,47281,kt_2,2018-05-04,
839285,0,11270,47281,kt_2,2018-05-04,
839359,0,11162,47392,kt_2,2018-05-04,
839571,0,11202,48011,kt_2,2018-05-04,
844755,4,11246,47140,kt_2,2018-05-05,
844779,0,11285,47206,kt_2,2018-05-05,
845432,3,11269,47279,kt_2,2018-05-05,
845434,3,11270,47279,kt_2,2018-05-05,
845467,4,11162,47390,kt_2,2018-05-05,
847294,4,11246,47141,kt_2,2018-05-06,
847330,0,11285,47207,kt_2,2018-05-06,
847494,2,11269,47280,kt_2,2018-05-06,
847496,2,11270,47280,kt_2,2018-05-06,
848108,5,11246,47142,kt_2,2018-05-06,
849485,0,11246,47139,kt_2,2018-05-07,
849820,0,11285,47205,kt_2,2018-05-07,
850958,0,11285,47211,kt_2,2018-05-07,
851855,4,11269,47282,kt_2,2018-05-07,
851861,3,11270,47282,kt_2,2018-05-07,
851953,5,11246,47145,kt_2,2018-05-07,
852527,0,11269,47278,kt_2,2018-05-07,
852531,0,11270,47278,kt_2,2018-05-07,
852640,4,11162,47389,kt_2,2018-05-07,
853915,0,11162,47393,kt_2,2018-05-07,
853959,0,11162,47394,kt_2,2018-05-07,
854587,2,11202,48017,kt_2,2018-05-08,
855831,2,11269,47277,kt_2,2018-05-08,
855838,3,11270,47277,kt_2,2018-05-08,
855958,0,11162,47388,kt_2,2018-05-08,
856318,3,11202,48013,kt_2,2018-05-08,
856379,0,11202,48012,kt_2,2018-05-08,
858334,3,11202,48018,kt_2,2018-05-08,
859541,2,11162,47391,kt_2,2018-05-09,
859724,4,11246,47143,kt_2,2018-05-09,
859798,0,11285,47209,kt_2,2018-05-09,
861224,2,11269,47284,kt_2,2018-05-10,
861227,0,11270,47284,kt_2,2018-05-10,
862052,0,11202,48014,kt_2,2018-05-10,
862099,4,11162,47395,kt_2,2018-05-10,
869848,5,11269,49628,qualification,2018-06-06,2018-06-04
869867,5,11270,49628,qualification,2018-06-04,2018-05-30
869973,0,11162,49642,qualification,2018-06-04,2018-06-04
871011,5,11269,49630,qualification,2018-06-04,2018-06-04
871013,5,11270,49630,qualification,2018-06-04,2018-06-04
871053,5,11162,49644,qualification,2018-06-04,2018-06-04
871103,4,11191,46518,exam,2018-05-08,2018-05-03
871115,0,11287,46523,exam,2018-05-08,2018-05-08
871296,5,11269,43901,qualification,2018-01-09,2018-01-09
871297,5,11269,43896,qualification,2018-01-15,2018-01-15
871298,3,11269,43900,exam,2018-01-16,2018-01-16
871299,3,11269,43899,exam,2018-01-19,2018-01-19
871300,3,11269,43898,exam,2018-01-26,2018-01-15
871301,5,11270,43901,qualification,2018-01-09,2018-01-09
871302,5,11270,43896,qualification,2018-01-15,2018-01-15
871303,3,11270,43900,exam,2018-01-16,2018-01-16
871304,3,11270,43899,exam,2018-01-19,2018-01-19
871305,3,11270,43898,exam,2018-01-29,2018-01-15
874724,3,11191,48622,diff_qualification,2018-06-05,2018-06-05
874744,0,11287,48623,diff_qualification,2018-06-05,2018-06-05
881780,5,11269,49632,qualification,2018-06-19,2018-06-11
881791,5,11270,49632,qualification,2018-06-11,2018-06-04
881821,0,11162,49646,qualification,2018-06-11,2018-06-11
881877,3,11269,50533,exam,2018-06-11,2018-06-11
881879,3,11270,50533,exam,2018-06-11,2018-06-09
882020,5,11162,49648,qualification,2018-06-11,2018-06-11
886185,5,11246,50164,qualification,2018-06-14,2018-06-11
886199,0,11269,49629,exam,2018-06-14,2018-06-14
886201,5,11270,49629,exam,2018-06-14,2018-06-14
886232,5,11246,50163,qualification,2018-06-14,2018-06-08
886276,5,11246,50159,qualification,2018-06-14,2018-06-09
886313,0,11285,50170,qualification,2018-06-14,2018-06-14
887953,4,11246,50160,exam,2018-06-15,2018-06-14
887973,0,11285,50171,qualification,2018-06-15,2018-06-15
887995,0,11285,50166,qualification,2018-06-15,2018-06-15
888017,0,11285,50167,exam,2018-06-15,2018-06-15
890618,0,11162,49645,exam,2018-06-19,2018-06-19
890638,0,11162,49649,exam,2018-06-19,2018-06-19
890962,3,11162,49647,exam,2018-06-19,2018-06-19
891027,2,11269,49631,exam,2018-06-19,2018-06-19
891029,3,11270,49631,exam,2018-06-19,2018-06-19
891866,4,11246,50161,exam,2018-06-20,2018-06-18
894265,5,11246,50162,exam,2018-06-25,2018-06-23
894318,0,11285,50169,exam,2018-06-25,2018-06-25
895006,3,11269,49633,exam,2018-06-25,2018-06-25
