id,semester_id,starts_at,ends_at,kind
2,1,2016-09-13,2016-10-20,kt_1
66,1,2016-11-21,2016-12-03,kt_2
67,1,2016-08-16,2017-02-01,exam_session
68,8,2017-03-20,2017-04-04,kt_1
74,8,2017-04-26,2017-06-28,exam_session
75,8,2017-05-01,2017-05-14,kt_2
79,9,2017-10-09,2017-10-22,kt_1
80,9,2017-09-05,2018-01-30,exam_session
81,9,2017-11-20,2017-12-03,kt_2
84,10,2018-03-19,2018-03-27,kt_1
85,10,2018-03-19,2018-05-05,exam_session
87,10,2018-03-22,2018-06-27,exam_session
88,10,2018-04-10,2018-06-30,exam_session
89,10,2018-04-30,2018-05-11,kt_2
90,10,2018-05-19,2018-07-03,exam_session
92,10,2018-06-25,2019-01-30,exam_session
95,11,2018-10-08,2018-10-23,kt_1
96,11,2018-10-11,2019-01-30,exam_session
97,11,2018-11-18,2018-12-02,kt_2
106,12,2019-03-18,2019-04-03,kt_1
111,12,2019-04-05,2019-06-15,exam_session
112,12,2019-04-08,2019-05-08,exam_session
113,12,2019-04-26,2019-05-19,kt_2
116,12,2019-05-20,2019-06-26,exam_session
120,12,2019-06-05,2019-09-02,exam_session
121,12,2019-07-04,2020-02-04,exam_session
124,13,2019-10-14,2019-10-30,kt_1
131,13,2019-11-25,2019-12-11,kt_2
134,13,2019-12-23,2020-02-04,exam_session
146,14,2020-03-23,2020-04-12,kt_1
150,14,2020-04-20,2020-05-19,exam_session
160,14,2020-05-12,2020-05-25,kt_2
171,14,2020-06-08,2020-07-17,exam_session
172,14,2020-06-08,2020-07-17,exam_session
173,14,2020-06-08,2020-07-30,exam_session
175,14,2020-07-20,2020-09-28,exam_session
181,15,2020-10-12,2020-10-26,kt_1
187,15,2020-11-23,2020-12-08,kt_2
190,15,2020-12-21,2021-01-23,exam_session
192,15,2021-01-09,2021-02-03,exam_session
203,16,2021-03-22,2021-04-06,kt_1
214,16,2021-04-19,2021-05-19,exam_session
218,16,2021-05-03,2021-05-18,kt_2
220,16,2021-05-31,2021-07-15,exam_session
221,16,2021-05-26,2021-06-10,exam_session
223,16,2021-05-24,2021-07-08,exam_session
229,16,2021-07-05,2021-09-24,exam_session
244,17,2021-10-11,2021-11-01,kt_1
251,17,2021-11-22,2021-12-14,kt_2
257,17,2021-12-28,2022-02-04,exam_session
292,18,2022-03-21,2022-04-08,kt_1
295,18,2022-04-18,2022-05-13,exam_session
316,18,2022-05-09,2022-06-08,exam_session
323,18,2022-06-13,2022-07-12,exam_session
