id,semester_id,course_id,name
19026,13,848,"Вычислительные машины, системы и сети"
19027,13,848,Метрология и измерительная техника
19028,13,848,Математические основы теории систем
19029,13,848,Информационные сети и телекоммуникации
19030,13,848,Элективные дисциплины по физической культуре и спорту
19031,13,848,Распределённые базы данных **
19032,13,848,Программная инженерия и технология (групповое проектное обучение ГПО 2)
19033,13,848,Теория систем/Системный анализ
19034,13,847,Математика
19035,13,847,Физика
19036,13,847,Компьютерная графика
19037,13,847,Математическая логика и теория алгоритмов
19038,13,847,"Теория вероятностей, математическая статистика и случайные процессы"
19039,13,847,Объектно-ориенитированное программирование
19040,13,847,Элективные дисциплины по физической культуре и спорту
19041,13,847,Защита и передача интеллектуальной собственности/Патентоведение
19042,13,847,Математическое моделирование объектов и систем управления
19043,13,847,Автоматизированное проектирование средств и систем управления
19044,13,847,Информационная безопасность и защита информации в сетях ЭВМ
19045,13,847,Менеджмент в телекоммуникационных системах
19046,13,847,Философские основы естествознания/ Философия науки и техники (по выбору)
19047,13,847,Электропитание летательных аппаратов
19048,13,847,Научно-исследовательская работа в семестре
19049,13,846,История и методология науки и техники в области управления
19050,13,846,Современные проблемы теории управления
19051,13,846,Цифровые системы автоматического управления
19052,13,846,Проектирование микропроцессорных и компьютерных систем
19053,13,846,Системы интеллектуального управления
19054,13,846,Измерительная техника и датчики
19055,13,846,Иностранный язык - Английский (по выбору)
19056,13,846,Иностранный язык - Французский (по выбору)
19057,13,846,Научно-исследовательская работа в семестре
19058,13,846,Иностранный язык
19059,13,846,Математика
19060,13,846,Физика
19061,13,846,Информационные технологии
19062,13,846,Программирование
19063,13,846,Инженерная графика
19064,13,846,Фзическая культура
19065,13,846,Информатика
19073,13,848,Экономика
19074,13,848,Инженерная и компьютерная графика
19075,13,848,Теория автоматического управления
19076,13,848,Теория и технология программирования
19077,13,848,"Метрология, стандартизация и сертификация"
19078,13,848,Базы данных
19079,13,848,Социология
19080,13,848,Теория и проектирование информационных систем*
19081,13,848,Анализ и реструктуризация бизнес-процессов (ГПО1)
19082,13,847,Экономика
19083,13,847,Информатика
19084,13,847,Теория дифференциальных и интегральных уравнений
19085,13,847,"Вычислительные машины, системы и сети"
19086,13,847,Профессиональный английский язык
19087,13,847,Патентоведение
19088,13,846,Физическая культура и спорт
19089,13,846,Инженерная и компьютерная графика
19090,13,846,Химия
19091,13,846,Дискретная математика
19092,13,846,Программирование и основы алгоритмизации
19093,13,846,Компьютерное моделирование физических задач
19102,13,848,Учебно-исследовательская работа
19103,13,848,Управление качеством
19104,13,848,Схемотехника электронных средств
19105,13,848,Пакеты прикладных программ схемотехнического анализа/Пакеты прикладных программ системотехнического анализа
19106,13,848,Основы автоматизированного электропривода (ГПО-2)/Электрические машины и электропривод(ГПО-2)
19107,13,848,Углубленный курс иностранного языка
19114,13,847,Интеллектуальные системы
19115,13,847,"Научный семинар ""Компьютерные технологии в науке и образовании"""
19116,13,847,Вычислительные системы
19117,13,847,Численные методы/Вычислитеные методы (по выбору)
19118,13,847,Основы разработки коммерческого программного обеспечения/Структуры и алгоритмы обработки данных (по выбору)
19119,13,847,Научно-исследовательская работа
19120,13,847,Информационные технологии
19121,13,847,Дискретная математика
19122,13,847,Объектно-ориентированное программирование
19123,13,847,Элективные дисциплины по физической культуре и спорту
19124,13,846,Методы оптимизации
19125,13,846,Методология научного творчества
19126,13,846,Теория массового обслуживания
19127,13,846,Современные проблемы информатики и вычислительной техники
19128,13,846,Современные средства программирования
19129,13,846,Научно-исследовательская работа
19130,13,846,Компьютерная и инженерная графика
19131,13,846,Алгоритмы и структуры данных/ Информатика 2 (по выбору)
19132,13,847,Иностранный язык
19133,13,847,Эконометрика
19134,13,847,Идентификация объектов управления
19135,13,847,Непрерывные и дискретные процессы управления
19136,13,847,Теория распознавания образов/Имитационное моделирование и проектирование систем управления
19137,13,847,Информационные системы управления проектами/Системы управления предприятием(ERP-системы)
19138,13,846,Математические основы теории систем
19139,13,846,Компьютерные технологии управления в технических системах
19140,13,846,Методы и технологии документационного обеспечения управления/Автоматизация документирования технических решений
19146,13,848,Сети и телекоммуникации
19147,13,848,"Теория вероятностей, математическая статистика и случайные процессы"
19148,13,848,Методы оптимальных решений
19149,13,848,Теоретические основы механики / Механика
19150,13,848,Геометрическое моделирование / Геометрическое моделирование в САПР
19151,13,848,Искусственный интеллект **
19152,13,848,Программная инженерия и технология (ГПО-2)
19153,13,847,Базы данных
19154,13,847,Теория систем и системный анализ
19155,13,847,Мобильные приложения / Разработка сетевых приложений (по выбору)
19156,13,847,Автоматизация конструкторского и технологического проектирования
19157,13,846,ЭВМ и периферийные устройства
19158,13,846,Технология разработки программного обеспечения
19159,13,846,Проектирование программных приложений
19160,13,846,Современные концепции организации баз данных
19161,13,846,Автоматизация проектировнаия систем и средств управления
