id,week_id,training_id,plan_loading,loading
1809561,313,117391,2,0
1809562,314,117391,2,0
1809563,315,117391,2,0
1809564,316,117391,2,0
1809565,317,117391,2,0
1809566,318,117391,2,0
1809567,319,117391,2,0
1809568,320,117391,2,0
1809569,321,117391,2,0
1809570,322,117391,2,0
1809571,323,117391,2,0
1809572,324,117391,2,0
1809573,325,117391,2,0
1809574,326,117391,2,0
1809575,327,117391,2,0
1809576,328,117391,2,0
1809577,329,117391,2,0
1809578,330,117391,2,0
1809579,331,117391,0,0
1809580,332,117391,0,0
1809581,313,117392,4,0
1809582,314,117392,4,0
1809583,315,117392,4,0
1809584,316,117392,4,0
1809585,317,117392,4,0
1809586,318,117392,4,0
1809587,319,117392,4,0
1809588,320,117392,4,0
1809589,321,117392,4,0
1809590,322,117392,4,0
1809591,323,117392,4,0
1809592,324,117392,4,0
1809593,325,117392,4,0
1809594,326,117392,4,0
1809595,327,117392,4,0
1809596,328,117392,4,0
1809597,329,117392,4,0
1809598,330,117392,4,0
1809599,331,117392,0,0
1809600,332,117392,0,0
1809601,313,117394,0,0
1809602,314,117394,2,0
1809603,315,117394,2,0
1809604,316,117394,2,0
1809605,317,117394,2,0
1809606,318,117394,2,0
1809607,319,117394,2,0
1809608,320,117394,2,0
1809609,321,117394,2,0
1809610,322,117394,0,0
1809611,323,117394,2,0
1809612,324,117394,0,0
1809613,325,117394,2,0
1809614,326,117394,0,0
1809615,327,117394,2,0
1809616,328,117394,0,0
1809617,329,117394,2,0
1809618,330,117394,0,0
1809619,331,117394,0,0
1809620,332,117394,0,0
1809621,313,117395,0,0
1809622,314,117395,0,0
1809623,315,117395,2,0
1809624,316,117395,2,0
1809625,317,117395,2,0
1809626,318,117395,2,0
1809627,319,117395,2,0
1809628,320,117395,2,0
1809629,321,117395,2,0
1809630,322,117395,2,0
1809631,323,117395,2,0
1809632,324,117395,2,0
1809633,325,117395,2,0
1809634,326,117395,2,0
1809635,327,117395,2,0
1809636,328,117395,2,0
1809637,329,117395,2,0
1809638,330,117395,0,0
1809639,331,117395,0,0
1809640,332,117395,0,0
1809641,313,117397,0,0
1809642,314,117397,2,0
1809643,315,117397,2,0
1809644,316,117397,2,0
1809645,317,117397,2,0
1809646,318,117397,2,0
1809647,319,117397,2,0
1809648,320,117397,2,0
1809649,321,117397,2,0
1809650,322,117397,2,0
1809651,323,117397,0,0
1809652,324,117397,2,0
1809653,325,117397,0,0
1809654,326,117397,2,0
1809655,327,117397,0,0
1809656,328,117397,2,0
1809657,329,117397,0,0
1809658,330,117397,0,0
1809659,331,117397,0,0
1809660,332,117397,0,0
1809661,313,117398,0,0
1809662,314,117398,0,0
1809663,315,117398,0,0
1809664,316,117398,0,0
1809665,317,117398,4,0
1809666,318,117398,0,0
1809667,319,117398,4,0
