id,academic_year_id,number,parity,starts_at,completes_at
313,7,1,odd,2016-09-01,2016-09-03
314,7,2,even,2016-09-05,2016-09-10
315,7,3,odd,2016-09-12,2016-09-17
316,7,4,even,2016-09-19,2016-09-24
317,7,5,odd,2016-09-26,2016-10-01
318,7,6,even,2016-10-03,2016-10-08
319,7,7,odd,2016-10-10,2016-10-15
320,7,8,even,2016-10-17,2016-10-22
321,7,9,odd,2016-10-24,2016-10-29
322,7,10,even,2016-10-31,2016-11-05
323,7,11,odd,2016-11-07,2016-11-12
324,7,12,even,2016-11-14,2016-11-19
325,7,13,odd,2016-11-21,2016-11-26
326,7,14,even,2016-11-28,2016-12-03
327,7,15,odd,2016-12-05,2016-12-10
328,7,16,even,2016-12-12,2016-12-17
329,7,17,odd,2016-12-19,2016-12-24
330,7,18,even,2016-12-26,2016-12-31
331,7,19,odd,2017-01-02,2017-01-07
332,7,20,even,2017-01-09,2017-01-14
333,7,21,odd,2017-01-16,2017-01-21
334,7,22,even,2017-01-23,2017-01-28
335,7,23,odd,2017-01-30,2017-02-04
336,7,24,even,2017-02-06,2017-02-11
337,7,25,odd,2017-02-13,2017-02-18
338,7,26,even,2017-02-20,2017-02-25
339,7,27,odd,2017-02-27,2017-03-04
340,7,28,even,2017-03-06,2017-03-11
341,7,29,odd,2017-03-13,2017-03-18
342,7,30,even,2017-03-20,2017-03-25
343,7,31,odd,2017-03-27,2017-04-01
344,7,32,even,2017-04-03,2017-04-08
345,7,33,odd,2017-04-10,2017-04-15
346,7,34,even,2017-04-17,2017-04-22
347,7,35,odd,2017-04-24,2017-04-29
348,7,36,even,2017-05-01,2017-05-06
349,7,37,odd,2017-05-08,2017-05-13
350,7,38,even,2017-05-15,2017-05-20
351,7,39,odd,2017-05-22,2017-05-27
352,7,40,even,2017-05-29,2017-06-03
353,7,41,odd,2017-06-05,2017-06-10
354,7,42,even,2017-06-12,2017-06-17
355,7,43,odd,2017-06-19,2017-06-24
356,7,44,even,2017-06-26,2017-07-01
357,7,45,odd,2017-07-03,2017-07-08
358,7,46,even,2017-07-10,2017-07-15
359,7,47,odd,2017-07-17,2017-07-22
360,7,48,even,2017-07-24,2017-07-29
361,7,49,odd,2017-07-31,2017-08-05
362,7,50,even,2017-08-07,2017-08-12
363,7,51,odd,2017-08-14,2017-08-19
364,7,52,even,2017-08-21,2017-08-26
365,7,53,odd,2017-08-28,2017-08-31
366,8,1,odd,2017-09-01,2017-09-02
367,8,2,even,2017-09-04,2017-09-09
368,8,3,odd,2017-09-11,2017-09-16
369,8,4,even,2017-09-18,2017-09-23
370,8,5,odd,2017-09-25,2017-09-30
371,8,6,even,2017-10-02,2017-10-07
372,8,7,odd,2017-10-09,2017-10-14
373,8,8,even,2017-10-16,2017-10-21
374,8,9,odd,2017-10-23,2017-10-28
375,8,10,even,2017-10-30,2017-11-04
376,8,11,odd,2017-11-06,2017-11-11
377,8,12,even,2017-11-13,2017-11-18
378,8,13,odd,2017-11-20,2017-11-25
379,8,14,even,2017-11-27,2017-12-02
380,8,15,odd,2017-12-04,2017-12-09
381,8,16,even,2017-12-11,2017-12-16
382,8,17,odd,2017-12-18,2017-12-23
383,8,18,even,2017-12-25,2017-12-30
384,8,19,odd,2018-01-01,2018-01-06
385,8,20,even,2018-01-08,2018-01-13
386,8,21,odd,2018-01-15,2018-01-20
387,8,22,even,2018-01-22,2018-01-27
388,8,23,odd,2018-01-29,2018-02-03
389,8,24,even,2018-02-05,2018-02-10
390,8,25,odd,2018-02-12,2018-02-17
391,8,26,even,2018-02-19,2018-02-24
392,8,27,odd,2018-02-26,2018-03-03
393,8,28,even,2018-03-05,2018-03-10
394,8,29,odd,2018-03-12,2018-03-17
395,8,30,even,2018-03-19,2018-03-24
396,8,31,odd,2018-03-26,2018-03-31
397,8,32,even,2018-04-02,2018-04-07
398,8,33,odd,2018-04-09,2018-04-14
399,8,34,even,2018-04-16,2018-04-21
400,8,35,odd,2018-04-23,2018-04-28
401,8,36,even,2018-04-30,2018-05-05
402,8,37,odd,2018-05-07,2018-05-12
403,8,38,even,2018-05-14,2018-05-19
404,8,39,odd,2018-05-21,2018-05-26
405,8,40,even,2018-05-28,2018-06-02
406,8,41,odd,2018-06-04,2018-06-09
407,8,42,even,2018-06-11,2018-06-16
408,8,43,odd,2018-06-18,2018-06-23
409,8,44,even,2018-06-25,2018-06-30
410,8,45,odd,2018-07-02,2018-07-07
411,8,46,even,2018-07-09,2018-07-14
412,8,47,odd,2018-07-16,2018-07-21
413,8,48,even,2018-07-23,2018-07-28
414,8,49,odd,2018-07-30,2018-08-04
415,8,50,even,2018-08-06,2018-08-11
416,8,51,odd,2018-08-13,2018-08-18
417,8,52,even,2018-08-20,2018-08-25
418,9,1,odd,2018-09-01,2018-09-01
419,9,2,even,2018-09-03,2018-09-08
420,9,3,odd,2018-09-10,2018-09-15
421,9,4,even,2018-09-17,2018-09-22
422,9,5,odd,2018-09-24,2018-09-29
423,9,6,even,2018-10-01,2018-10-06
424,9,7,odd,2018-10-08,2018-10-13
425,9,8,even,2018-10-15,2018-10-20
426,9,9,odd,2018-10-22,2018-10-27
427,9,10,even,2018-10-29,2018-11-03
428,9,11,odd,2018-11-05,2018-11-10
429,9,12,even,2018-11-12,2018-11-17
430,9,13,odd,2018-11-19,2018-11-24
431,9,14,even,2018-11-26,2018-12-01
432,9,15,odd,2018-12-03,2018-12-08
433,9,16,even,2018-12-10,2018-12-15
434,9,17,odd,2018-12-17,2018-12-22
435,9,18,even,2018-12-24,2018-12-29
436,9,19,odd,2018-12-31,2019-01-05
437,9,20,even,2019-01-07,2019-01-12
438,9,21,odd,2019-01-14,2019-01-19
